id,password,role,isFirstLogin
PAT001,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,PATIENT,false
ADMIN001,96cae35ce8a9b0244178bf28e4966c2ce1b8385723a96a6b838858cdd6ca0a1e,ADMINISTRATOR,false
PAT120,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,PATIENT,false
DOC001,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,DOCTOR,false
DOC003,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,DOCTOR,true
DOC002,1d707811988069ca760826861d6d63a10e8c3b7f171c4441a6472ea58c11711b,DOCTOR,false
DOC005,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,DOCTOR,true
PHARM001,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,PHARMACIST,false
DOC004,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,DOCTOR,true
DOC006,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,DOCTOR,true
